customer_id,name,age,city,email,purchase_amount,rating
0.0,emily white,25.0,New York,emily.w@example.com,84.1570652173913,4.0
1001.0,jane smith,35.0,Miami,charlie.g@example.com,10.5,4.0
1002.0,jane smith,45.0,houston,alice.j@example.com,250.0,3.0
1003.0,name,45.0,houston,charlie.g@example.com,23.4,0.0
1004.0,emily white,35.0,BOSTON,alice.j@example.com,23.4,4.0
1005.0,emily white,39.495327102803735,seattle,john.doe@example.com,55.0,4.0
1006.0,DAVID BLACK,39.495327102803735,los angeles,david.b@example.com,10.5,4.5
1007.0,emily white,55.0,los angeles,alice.j@example.com,55.0,4.0
1008.0,jane smith,60.0,houston,john.doe@example.com,10.5,2.0
1009.0, Alice Johnson ,60.0,BOSTON,john.doe@example.com,84.1570652173913,5.0
1010.0,Charlie Green,30.0,Miami,john.doe@example.com,250.0,0.0
1011.0,name,25.0, CHICAGO , ,250.0,0.0
1012.0,DAVID BLACK,30.0,los angeles,emily.w@example.com,84.1570652173913,3.0
1013.0, Alice Johnson ,50.0,seattle, ,84.1570652173913,0.0
1014.0,name,39.495327102803735,seattle,emily.w@example.com,10.5,4.0
1015.0,emily white,34.0,city,bob.b@example.com,100.25,0.0
1016.0,emily white,39.495327102803735,seattle,john.doe@example.com,10.5,0.0
1017.0,name,35.0,BOSTON,john.doe@example.com,84.1570652173913,2.0
1018.0,bob brown,39.495327102803735,los angeles,david.b@example.com,84.1570652173913,1.0
1019.0,emily white,60.0,city,emily.w@example.com,84.1570652173913,3.0
1020.0,bob brown,25.0,houston,emily.w@example.com,100.25,4.5
1021.0,emily white,45.0,New York,alice.j@example.com,99.99,3.0
1022.0,emily white,35.0,seattle,david.b@example.com,10.5,5.0
1023.0,bob brown,50.0,New York,jane.smith@example.com,23.4,2.0
1024.0,jane smith,55.0,los angeles,david.b@example.com,55.0,2.0
1025.0,DAVID BLACK,40.0,New York,alice.j@example.com,10.5,4.0
1026.0,DAVID BLACK,45.0,seattle,bob.b@example.com,84.1570652173913,4.0
1027.0,name,20.0,houston,charlie.g@example.com,250.0,1.0
1028.0,Charlie Green,34.0,houston,emily.w@example.com,55.0,1.0
