customer_id,name,age,city,email,purchase_amount,rating
ID_1000,emily white,25,New York,emily.w@example.com,,4
1001,jane smith,35,Miami,charlie.g@example.com,10.5,4
1002,jane smith,45,houston,alice.j@example.com,250.0,3
1003,,45,houston,charlie.g@example.com,23.4,five
1004,emily white,35,BOSTON,alice.j@example.com,23.4,4
1005,emily white,twenty,seattle,john.doe@example.com,55.0,4
1006,DAVID BLACK,,los angeles,david.b@example.com,10.5,4.5
1007,emily white,55,los angeles,alice.j@example.com,55.0,4
1008,jane smith,60,houston,john.doe@example.com,10.5,2
1009, Alice Johnson ,60,BOSTON,john.doe@example.com,,5
1010,Charlie Green,30,Miami,john.doe@example.com,250.0,
1011,,25, CHICAGO , ,250.0,
1012,DAVID BLACK,30,los angeles,emily.w@example.com,missing,3
1013, Alice Johnson ,50,seattle, , ,None
1014,, ,seattle,emily.w@example.com,10.5,4
1015,emily white,34,None,bob.b@example.com,100.25,None
1016,emily white,twenty,seattle,john.doe@example.com,10.5,five
1017,,35,BOSTON,john.doe@example.com,missing,2
1018,bob brown,,los angeles,david.b@example.com,"150,50",1
1019,emily white,60,None,emily.w@example.com,,3
1020,bob brown,25,houston,emily.w@example.com,100.25,4.5
1021,emily white,45 ,New York,alice.j@example.com,99.99,3
1022,emily white,35,seattle,david.b@example.com,10.5,5
1023,bob brown,50,New York,jane.smith@example.com,23.4,2
1024,jane smith,55,los angeles,david.b@example.com,55.0,2
1025,DAVID BLACK,40,New York,alice.j@example.com,10.5,4
1026,DAVID BLACK,45,seattle,bob.b@example.com,,4
1027,,20,houston,charlie.g@example.com,250.0,1
1028,Charlie Green,34,houston,emily.w@example.com,55.0,1
1029,,60,Miami,alice.j@example.com,250.0,2
1030,john Doe,25,New York,john.doe@example.com,10.5,5
1031,,40,los angeles,jane.smith@example.com,250.0,4
1032,john Doe,25,,bob.b@example.com,250.0,4.5
1033,john Doe,,Miami,charlie.g@example.com,23.4,1
1034,john Doe,45,New York,bob.b@example.com,250.0,3
1035,Charlie Green,50,New York,charlie.g@example.com,23.4,2
1036,bob brown,20,Miami,charlie.g@example.com,100.25,2
1037,bob brown,30,BOSTON,john.doe@example.com,10.5,5
1038,Charlie Green,40,,jane.smith@example.com,,1
1039,,30,Miami,bob.b@example.com,"150,50",
1040,DAVID BLACK,50,New York,john.doe@example.com,23.4,2
1041,,30,New York,bob.b@example.com,10.5,3
1042,,55,,jane.smith@example.com,100.25,3
1043,bob brown,35,Miami,emily.w@example.com,,3
1044,Charlie Green,35,houston,bob.b@example.com,10.5,3
1045,jane smith,30,houston,david.b@example.com,23.4,4
1046,bob brown,50,New York,jane.smith@example.com,10.5,2
1047,Charlie Green,20,New York,,10.5,5
1048,jane smith,40,New York,charlie.g@example.com,,4
1049,,25,New York,bob.b@example.com,100.25,
